CDUID,month,year,date,background_pm25
1003,10,2033,2033-10-01,0.26
1003,11,2033,2033-11-01,0.21
1003,12,2033,2033-12-01,0.06
1003,1,2034,2034-01-01,0.09
1003,2,2034,2034-02-01,0.09
1003,3,2034,2034-03-01,0.33
1003,4,2034,2034-04-01,0.226
1003,5,2034,2034-05-01,0.27
1003,6,2034,2034-06-01,0.34
1003,7,2034,2034-07-01,0.474
1003,8,2034,2034-08-01,0.59
1003,9,2034,2034-09-01,0.3
1003,10,2034,2034-10-01,0.26
1003,11,2034,2034-11-01,0.21
1003,12,2034,2034-12-01,0.06
1003,1,2035,2035-01-01,0.09
1003,2,2035,2035-02-01,0.09
1003,3,2035,2035-03-01,0.33
1003,4,2035,2035-04-01,0.228
1003,5,2035,2035-05-01,0.27
1003,6,2035,2035-06-01,0.34
1003,7,2035,2035-07-01,0.472
1003,8,2035,2035-08-01,0.59
1003,9,2035,2035-09-01,0.3
1003,10,2035,2035-10-01,0.26
1003,11,2035,2035-11-01,0.21
1003,12,2035,2035-12-01,0.06
1003,1,2036,2036-01-01,0.09
1003,2,2036,2036-02-01,0.09
1003,3,2036,2036-03-01,0.33
1003,4,2036,2036-04-01,0.23
1003,5,2036,2036-05-01,0.27
1003,6,2036,2036-06-01,0.34
1003,7,2036,2036-07-01,0.47
1003,8,2036,2036-08-01,0.59
1003,9,2036,2036-09-01,0.3
1003,10,2036,2036-10-01,0.26
1003,11,2036,2036-11-01,0.21
1003,12,2036,2036-12-01,0.06
1004,1,2019,2019-01-01,0.12
1004,2,2019,2019-02-01,0.11
1004,3,2019,2019-03-01,0.37
1004,4,2019,2019-04-01,0.24
1004,5,2019,2019-05-01,0.34
1004,6,2019,2019-06-01,0.44
1004,7,2019,2019-07-01,0.79
1004,8,2019,2019-08-01,0.78
1004,9,2019,2019-09-01,0.38
1004,10,2019,2019-10-01,0.29
1004,11,2019,2019-11-01,0.2
1004,12,2019,2019-12-01,0.07
1004,1,2020,2020-01-01,0.11714285714285715
1004,2,2020,2020-02-01,0.10857142857142857
1004,3,2020,2020-03-01,0.36428571428571427
1004,4,2020,2020-04-01,0.2357142857142857
1004,5,2020,2020-05-01,0.3342857142857143
1004,6,2020,2020-06-01,0.4257142857142857
1004,7,2020,2020-07-01,0.7728571428571429
1004,8,2020,2020-08-01,0.76
1004,9,2020,2020-09-01,0.3728571428571429
1004,10,2020,2020-10-01,0.28428571428571425
1004,11,2020,2020-11-01,0.19571428571428573
