"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25"
"350","Okanagan",2019,2,2019-02-01,8.42343383047819
"351","Okanagan",2019,3,2019-03-01,8.88367377983778
"352","Okanagan",2019,4,2019-04-01,6.08629695972695
"353","Okanagan",2019,5,2019-05-01,6.69669135891926
"354","Okanagan",2019,6,2019-06-01,5.13588800121687
"355","Okanagan",2019,7,2019-07-01,6.95089986436342
"356","Okanagan",2019,8,2019-08-01,6.75057977800912
"357","Okanagan",2019,9,2019-09-01,5.69237324395734
"358","Okanagan",2019,10,2019-10-01,7.35241412001063
"359","Okanagan",2019,11,2019-11-01,10.8158197190952
"360","Okanagan",2019,12,2019-12-01,9.09342604737956
"361","Okanagan",2020,1,2020-01-01,7.86800027783101
"362","Okanagan",2020,2,2020-02-01,7.56510369036677
"363","Okanagan",2020,3,2020-03-01,7.05310020316006
"364","Okanagan",2020,4,2020-04-01,5.82971504190637
"365","Okanagan",2020,5,2020-05-01,5.60368310946265
"366","Okanagan",2020,6,2020-06-01,5.61795288796352
"367","Okanagan",2020,7,2020-07-01,6.5566749000278
"368","Okanagan",2020,8,2020-08-01,7.63631880653102
"369","Okanagan",2020,9,2020-09-01,16.5747380882847
"370","Okanagan",2020,10,2020-10-01,7.84418213794058
"371","Okanagan",2020,11,2020-11-01,7.90878345081662
"372","Okanagan",2020,12,2020-12-01,9.13013836644936
"373","Okanagan",2021,1,2021-01-01,8.55798742745237
"374","Okanagan",2021,2,2021-02-01,8.15739187250529
"375","Okanagan",2021,3,2021-03-01,7.34265996857719
"376","Okanagan",2021,4,2021-04-01,5.9945305572932
"377","Okanagan",2021,5,2021-05-01,5.84235937221534
"378","Okanagan",2021,6,2021-06-01,5.51659476067645
"379","Okanagan",2021,7,2021-07-01,8.36046086593582
"380","Okanagan",2021,8,2021-08-01,17.9378979454491
"381","Okanagan",2021,9,2021-09-01,9.05490891801492
"382","Okanagan",2021,10,2021-10-01,7.95200051571168
"383","Okanagan",2021,11,2021-11-01,9.77259518582929
"384","Okanagan",2021,12,2021-12-01,8.23774645153472
"385","Okanagan",2022,1,2022-01-01,8.55798742745237
"386","Okanagan",2022,2,2022-02-01,8.15739187250529
"387","Okanagan",2022,3,2022-03-01,7.34265996857719
"388","Okanagan",2022,4,2022-04-01,5.9945305572932
"389","Okanagan",2022,5,2022-05-01,5.84235937221534
"390","Okanagan",2022,6,2022-06-01,5.51659476067645
"391","Okanagan",2022,7,2022-07-01,8.36046086593582
"392","Okanagan",2022,8,2022-08-01,17.9378979454491
"393","Okanagan",2022,9,2022-09-01,9.05490891801492
"394","Okanagan",2022,10,2022-10-01,7.95200051571168
"395","Okanagan",2022,11,2022-11-01,9.77259518582929
"396","Okanagan",2022,12,2022-12-01,8.23774645153472
"397","Thompson Cariboo Shuswap",2012,1,2012-01-01,8.06751535749624
"398","Thompson Cariboo Shuswap",2012,2,2012-02-01,8.86996400203478
"399","Thompson Cariboo Shuswap",2012,3,2012-03-01,6.57197804363274
"400","Thompson Cariboo Shuswap",2012,4,2012-04-01,5.96575573147003
"401","Thompson Cariboo Shuswap",2012,5,2012-05-01,6.38921854190068
"402","Thompson Cariboo Shuswap",2012,6,2012-06-01,5.70537757266436
"403","Thompson Cariboo Shuswap",2012,7,2012-07-01,9.46100195339729
"404","Thompson Cariboo Shuswap",2012,8,2012-08-01,7.8278903916167
"405","Thompson Cariboo Shuswap",2012,9,2012-09-01,8.75764886249998
"406","Thompson Cariboo Shuswap",2012,10,2012-10-01,7.60891784677729
"407","Thompson Cariboo Shuswap",2012,11,2012-11-01,9.54687457687745
"408","Thompson Cariboo Shuswap",2012,12,2012-12-01,8.82977842332986
"409","Thompson Cariboo Shuswap",2013,1,2013-01-01,8.894602476687
"410","Thompson Cariboo Shuswap",2013,2,2013-02-01,8.30525448116227
"411","Thompson Cariboo Shuswap",2013,3,2013-03-01,7.41792083153987
"412","Thompson Cariboo Shuswap",2013,4,2013-04-01,6.03409921708417
"413","Thompson Cariboo Shuswap",2013,5,2013-05-01,6.29275960372646
"414","Thompson Cariboo Shuswap",2013,6,2013-06-01,5.69412733299739
"415","Thompson Cariboo Shuswap",2013,7,2013-07-01,6.66400248835179
"416","Thompson Cariboo Shuswap",2013,8,2013-08-01,7.19899239256387
"417","Thompson Cariboo Shuswap",2013,9,2013-09-01,7.12379832473708
"418","Thompson Cariboo Shuswap",2013,10,2013-10-01,8.59960126112621
"419","Thompson Cariboo Shuswap",2013,11,2013-11-01,12.0943104550384
"420","Thompson Cariboo Shuswap",2013,12,2013-12-01,9.94538769048464
"421","Thompson Cariboo Shuswap",2014,1,2014-01-01,9.54716113085711
"422","Thompson Cariboo Shuswap",2014,2,2014-02-01,8.27212117690366
"423","Thompson Cariboo Shuswap",2014,3,2014-03-01,7.07782321079313
"424","Thompson Cariboo Shuswap",2014,4,2014-04-01,5.85298491661779
"425","Thompson Cariboo Shuswap",2014,5,2014-05-01,5.90531521274803
"426","Thompson Cariboo Shuswap",2014,6,2014-06-01,5.53457333198837
"427","Thompson Cariboo Shuswap",2014,7,2014-07-01,11.1980851582209
"428","Thompson Cariboo Shuswap",2014,8,2014-08-01,11.2965749276717
"429","Thompson Cariboo Shuswap",2014,9,2014-09-01,6.54509784147536
"430","Thompson Cariboo Shuswap",2014,10,2014-10-01,7.4169144640801
"431","Thompson Cariboo Shuswap",2014,11,2014-11-01,12.9042529959466
"432","Thompson Cariboo Shuswap",2014,12,2014-12-01,10.2671965538523
"433","Thompson Cariboo Shuswap",2015,1,2015-01-01,8.99792690324758
"434","Thompson Cariboo Shuswap",2015,2,2015-02-01,8.24358346366652
"435","Thompson Cariboo Shuswap",2015,3,2015-03-01,7.90310145807627
"436","Thompson Cariboo Shuswap",2015,4,2015-04-01,6.00524498204673
"437","Thompson Cariboo Shuswap",2015,5,2015-05-01,6.55401167550097
"438","Thompson Cariboo Shuswap",2015,6,2015-06-01,6.78102283112256
"439","Thompson Cariboo Shuswap",2015,7,2015-07-01,9.63412344600611
"440","Thompson Cariboo Shuswap",2015,8,2015-08-01,13.565205472996
